"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"duration"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"category"
"Client Manager/Handler"	"GBP"	"London"	"Permanent"	"Client Manager/Handler"	"London - GBP"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Posting Description  Technician and Broker Back up  We're hiring!  Aon are currently recruiting a Technician/Broker Back up to join our team in London. The successful applicant will be primarily responsible for: producing and/or providing quality checks in respect of documentation and transactional activities required to support the placement of business.  About Aon  Headquartered in London, Aon Plc is a leading global professional services firm providing a broad range of risk, retirement and health solutions. Our 50,000 colleagues in 120 countries empower results for clients by using proprietary data and analytics to deliver insights that reduce volatility and improve performance.  Aon is an equal opportunities employer. Aon's recruitment and selection policy ensures the best possible skill mix of colleagues and the highest quality candidates are appointed using objective job-related criteria.  Reinsurance Solutions, a division of Aon plc, is the world's leading reinsurance intermediary and full-service capital advisor. We empower our clients to better understand, manage and transfer risk through innovative solutions and personalised access to all forms of global reinsurance capital across treaty, facultative and capital markets. As a trusted advocate, we deliver local reach to the world's markets, an unparalleled investment in innovative analytics, including catastrophe management, actuarial and rating agency advisory. Through our professionals' expertise and experience, we advise clients in making optimal capital choices that will empower results and improve operational effectiveness for their business. With more than 80 offices in 50 countries, our worldwide client base has access to the broadest portfolio of integrated capital solutions and services.  About the Role  Your impact as a Technician and Broker Back up:  Processing and Facility Management  Processing of transactional activities and the production and maintenance of facility bordereaux and records.  Preparation of reinsurance or insurance documentation  Produce reinsurance or insurance documentation for placing and also for confirmation of coverage to clients.  Promotion of products and services  Lead or take an active part in activities and initiatives aimed at promoting Aon's products and services in the marketplace (eg media events, trade conferences, client seminars).  Quality control of reinsurance or insurance documentation  Review and check reinsurance or insurance documentation to ensure that it satisfies client requirements and other standards (eg regulatory).  Credit Control Monitoring  To work with our Accounting Teams, and assist when required, to ensure premiums are collected from clients and settled to Reinsurers within the specified settlement due dates.  Preparation of market submission  Collect and analyse relevant information and prepare market submissions and presentations for new business or renewals.  Respecting Aon policies   Responsibility for working in accordance with the Aon UK Limited Risk Management Framework, and compliance with the Aon UK Limited policies, including participation in the management of risks (including completion of mandatory training) that may adversely affect the business, interests or reputation of any Group Company.  About you  Your knowledge and expertise:  Understands the role of reinsurance in a clients' business strategy, effective translation of those needs, understanding and knowledge of facilities, statistical analysis and interpretation, legal parameters and content.  Works well under pressure, encourages others to make informed decisions, adopts a systematic approach, prepares contingency plans, proactively addresses challenges, considers broad long term picture, communicates confidently with others.  In depth understanding, consistently maintains a working knowledge of the client, manages expectations. Stays abreast of market developments and the client potential impact, has a good knowledge of key competitors, awareness of industry practices and Aon's regulatory controls.  Salary and Benefits  This role offers a competitive salary and bonus, plus a comprehensive benefits package and 25 days holiday. Through our flexible benefits, you will also have the opportunity to choose additional benefits, including healthcare, childcare vouchers and additional holiday. We also offer tremendous potential with a growing worldwide organisation.  Our Colleague Experience  Every day, our colleagues make a difference, work with the best, own their potential, and value one another. Together, we share this one purpose: to empower economic and human possibility around the world. This unifying goal is at the heart of our identity, and it lives in everything we do. To learn more about our colleague experience, visit Aon Colleague Experience.  We're happy to talk flexible working. If you need to flex your working pattern, Aon offers flexible and agile working policies and we're happy to discuss options with you upon application "	"London, UK"	"Customer Services"	NA	NA	"GBP"	"Aon"	"Aon"	"JS2453513/599253745"	"10/12/2018 07:11:35"	"http://www.jobserve.com/GmgKa"	NA
"Client Manager/Handler"	"GBP"	"London"	"Permanent"	"Client Manager/Handler"	"London - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Posting Description  Client Manager/Handler  We're hiring!  Aon are currently recruiting a Client Manager to join our team in London. The Client Manager will be primarily responsible for: assisting in producing and/or providing quality checks in respect of documentation and transactional activities required to support the placement of business.  About Aon  Headquartered in London, Aon Plc is a leading global professional services firm providing a broad range of risk, retirement and health solutions. Our 50,000 colleagues in 120 countries empower results for clients by using proprietary data and analytics to deliver insights that reduce volatility and improve performance.  Aon is an equal opportunities employer. Aon's recruitment and selection policy ensures the best possible skill mix of colleagues and the highest quality candidates are appointed using objective job-related criteria.  Reinsurance Solutions, a division of Aon plc, is the world's leading reinsurance intermediary and full-service capital advisor. We empower our clients to better understand, manage and transfer risk through innovative solutions and personalised access to all forms of global reinsurance capital across treaty, facultative and capital markets. As a trusted advocate, we deliver local reach to the world's markets, an unparalleled investment in innovative analytics, including catastrophe management, actuarial and rating agency advisory. Through our professionals' expertise and experience, we advise clients in making optimal capital choices that will empower results and improve operational effectiveness for their business. With more than 80 offices in 50 countries, our worldwide client base has access to the broadest portfolio of integrated capital solutions and services.  About the Role  Your impact as a Client Manager/Handler :  Preparation of final reinsurance or insurance documentation  Produce final reinsurance or insurance documentation to confirm coverage to clients.  Preparation of market submission  Collect and analyse relevant information and prepare market submissions and presentations for new business or renewals.  Promotion of products and services  Lead or take an active part in activities and initiatives aimed at promoting Aon's products and services in the marketplace (eg media events, trade conferences, client seminars).  Quality control of reinsurance or insurance documentation  Review and check reinsurance or insurance documentation to ensure that it satisfies client requirements and other standards (eg regulatory).  Credit Control Monitoring  To work with our Accounting Teams, and assist when required, to ensure premiums are collected from clients and settled to Reinsurers within the specified settlement due dates.  Respecting Aon policies   Responsibility for working in accordance with the Aon UK Limited Risk Management Framework, and compliance with the Aon UK Limited policies, including participation in the management of risks (including completion of mandatory training) that may adversely affect the business, interests or reputation of any Group Company.  About you  Your knowledge and expertise:  Understands the role of reinsurance in a clients' business strategy, effective translation of those needs, identifies appropriate partners, negotiation, statistical analysis and interpretation, legal parameters and content.  In depth understanding, consistently maintains a working knowledge of the client, manages expectations, introduction of new products. Stays abreast of market developments and the client potential impact, has a good knowledge of key competitors, awareness of industry practices and Aon's regulatory controls.  Works well under pressure, is prepared to make contentious or unpopular recommendations, encourages others to make informed decisions, adopts a systematic approach, prepares contingency plans, proactively addresses challenges, considers broad long term picture, communicates confidently with others.  Salary and Benefits  This role offers a competitive salary and bonus, plus a comprehensive benefits package and 25 days holiday. Through our flexible benefits, you will also have the opportunity to choose additional benefits, including healthcare, childcare vouchers and additional holiday. We also offer tremendous potential with a growing worldwide organisation.  Our Colleague Experience  Every day, our colleagues make a difference, work with the best, own their potential, and value one another. Together, we share this one purpose: to empower economic and human possibility around the world. This unifying goal is at the heart of our identity, and it lives in everything we do. To learn more about our colleague experience, visit Aon Colleague Experience.  We're happy to talk flexible working. If you need to flex your working pattern, Aon offers flexible and agile working policies and we're happy to discuss options with you upon application "	"London, UK"	"Customer Services"	NA	NA	"GBP"	"Aon"	"Aon"	"JS2446930/580119989"	"08/12/2018 09:07:47"	"http://www.jobserve.com/GmDb3"	NA
"Business Support Administrator"	"GBP"	"London"	"Permanent"	"Business Support Administrator"	"London - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Posting Description Business Support Administrator We're hiring!  Aon are currently recruiting a Business Support Administrator to join our team in London. The Business Support Administrator will be primarily responsible for supporting the Global Re Specialty team (70+people) with their day to day activities; delivering high quality support to the GRS team enabling them to deliver client value and business results.  About Aon   Headquartered in London, Aon Plc is a leading global professional services firm providing a broad range of risk, retirement and health solutions. Our 50,000 colleagues in 120 countries empower results for clients by using proprietary data and analytics to deliver insights that reduce volatility and improve performance.  Aon is an equal opportunities employer. Aon's recruitment and selection policy ensures the best possible skill mix of colleagues and the highest quality candidates are appointed using objective job-related criteria.  Reinsurance Solutions   Reinsurance Solutions, a division of Aon plc, is the world's leading reinsurance intermediary and full-service capital advisor. We empower our clients to better understand, manage and transfer risk through innovative solutions and personalised access to all forms of global reinsurance capital across treaty, facultative and capital markets. As a trusted advocate, we deliver local reach to the world's markets, an unparalleled investment in innovative analytics, including catastrophe management, actuarial and rating agency advisory. Through our professionals' expertise and experience, we advise clients in making optimal capital choices that will empower results and improve operational effectiveness for their business. With more than 80 offices in 50 countries, our worldwide client base has access to the broadest portfolio of integrated capital solutions and services. GRS Business Support key responsibilities will involve:  Key responsabilities:   Responsibility for organising meetings for both internal and external clients  Arranging cost effective travel through Aon systems  Managing team and individual expenses through the appropriate Aon systems  Ensure Travel and Expenses bookings are consistently managed and minimised  Pro-actively contribute to satisfaction of line manager and team supported  Responsible for providing a support function working from one inbox and working out a strategy as to how the work is divided up between the team to make sure that its completed in the quickest time possible ensuring its completed to a 1st class standard  Responsible for providing support and arranging meetings for the team for business trips and client visits  Providing a flexible service covering ad hoc duties such as organising team events  meeting and greeting visitors at all levels of seniority  organising travel and preparing complex travel itineraries including the arrangement of visa's  providing support the yearly reinsurance conferences including Monte Carlo, Baden Baden and PCI  Dealing with Clients first line queries and refer to appropriate team members, when necessary  Managing relationships with key stakeholders  Responsible for the on boarding of all joiners, movers, leavers, work experience, graduates and interns  Adhering to best practices business processes as directed by Operations leader  Responsible for making sure everyone is compliant and completing CVENT and CER forms when required  Responsible for monitoring LMS modules and making sure the team are all up to date and completing on time  Responsible for making sure everyone is competent and forms have been completed in timely manner  Arranging and facilitating the induction of any new recruits to the team  Adhering to the standards, procedures and best practices of Aon Limited to ensure FCA and other regulatory compliance  Responsibility for working in accordance with the Aon UK Limited Risk Management Framework, and compliance with the Aon UK Limited policies, including participation in the management of risks (including completion of mandatory training) that may adversely affect the business, interests or reputation of any Group Company About you  Your knowledge and expertise: About you  Educated to A Level standard or equivalent  Strong interpersonal skills  Proven track record of being extremely organised  Effective communication and presentation skills  Problem solving skills  Ability to work well as part of a team  Experience of working in a client facing environment  Advanced skills in Excel, Word, PowerPoint  Understanding of compliance and FCA regulation Salary and Benefits  This role offers a competitive salary and bonus, plus a comprehensive benefits package and 25 days holiday. Through our flexible benefits, you will also have the opportunity to choose additional benefits, including healthcare and additional holiday. We also offer tremendous potential with a growing worldwide organisation. Our Colleague Experience  Every day, our colleagues make a difference, work with the best, own their potential, and value one another. Together, we share this one purpose: to empower economic and human possibility around the world. This unifying goal is at the heart of our identity, and it lives in everything we do. To learn more about our colleague experience, visit Aon Colleague Experience.  We're happy to talk flexible working. If you need to flex your working pattern, Aon offers flexible and agile working policies and we're happy to discuss options with you upon application "	"London, UK"	"Office and Admin"	NA	NA	"GBP"	"Aon"	"Aon"	"JS2453664/587725488"	"08/12/2018 09:07:05"	"http://www.jobserve.com/GmDbR"	NA
"Claims Specialist"	""	"London"	"Permanent"	"Claims Specialist"	"London"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Posting Description  We're hiring!  Claims Specialist  Aon are currently recruiting a Claims Specialist to join our team in London. The Claims Specialist will be primarily responsible for the claims servicing of both Direct and Reinsurance clients with the primary objective of obtaining agreement & settlement as efficiently as possible while maintaining a high level of client service.  About Aon Reinsurance Solutions  Aon Reinsurance Solutions, a division of Aon plc, is the world's leading reinsurance intermediary and full-service capital advisor. We empower our clients to better understand, manage and transfer risk through innovative solutions and personalised access to all forms of global reinsurance capital across treaty, facultative and capital markets. As a trusted advocate, we deliver local reach to the world's markets, an unparalleled investment in innovative analytics, including catastrophe management, actuarial and rating agency advisory. Through our professionals' expertise and experience, we advise clients in making optimal capital choices that will empower results and improve operational effectiveness for their business. With more than 80 offices in 50 countries, our worldwide client base has access to the broadest portfolio of integrated capital solutions and services. Aon is an equal opportunities employer. Aon's recruitment and selection policy ensures the best possible skill mix of colleagues and the highest quality candidates are appointed using objective job-related criteria.  As a Claims Specialist some of your key responsibilities will involve:  Keep claims manager and producers/account managers informed of activities/changes/problems with client claims as appropriate  Initiate and develop a working relationship with the client.  Maintain positive relationship and excellent communication with client and co-workers  Actively manage client expectations  Organise, assist with and conduct client presentations and claim review meetings as needed  Cover for other team members during absences  Request status reports from carriers and apprise clients of updated status on their claims as needed  Assist clients in resolving insurance coverage problems and/or disputes.  Provide claim analysis as directed by the service team & agreed upon at account inception  Assist the account service team in developing loss information for marketing purposes including loss development information and claim statuses on open claims as requested.  Risk Management: Ensure processes, procedures and compliance policies are always adhered to.  About you  As a Claims Specialist your skills and qualifications will ideally include:  Knowledge of Reinsurance claims handling would be advantageous  Knowledge of the London Market  Analytical and problem-solving skills.  Proven interpersonal skills with a track record dealing with domestic and international clients.  Good knowledge of Microsoft office including Word, Excel and PowerPoint.  Good ability to work under your own initiative and as part of a team.  Responsible for working in accordance with the Aon UK Limited Risk Management Framework, and compliance with the Aon UK Limited policies, including participation in the management of risks (including completion of mandatory training) that may adversely affect the business, interests or reputation of any Group Company.  Salary and Benefits  This role offers a competitive salary and bonus, plus a comprehensive benefits package and 25 days holiday. Through our flexible benefits, you will also have the opportunity to choose additional benefits, including healthcare, childcare vouchers and additional holiday. "	"London, UK"	"Finance"	NA	NA	NA	"Aon"	"Aon"	"JS2454618/599253753"	"07/12/2018 07:06:36"	"http://www.jobserve.com/Gl2Jb"	NA
"Senior Modelling Analyst"	"48k Annual GBP"	"Cheltenham, Gloucestershire"	"Unspecified"	"Senior Modelling Analyst"	"Cheltenham, Gloucestershire - 48k Annual GBP"	"Unspecified"	"Posted: Thursday, 6 December 2018"	""	"Senior Modelling AnalystCheltenhamUp to £48,000 A niche insurance company seeking a Senior Analyst with a Strong stats background for a Model development role in the Risk Pricing team. A hands on role where you'll build out and deploy statistical models to predict customer behavior for conversion, retention, creditworthiness, up-sell and cross-sell propensities, price sensitivity etc. THE COMPANY: A fast-paced, but informal environment with big growth plans. There have been recent improvements to data capability meaning the stage is set for end to end model development projects across the Risk and Pricing space. THE ROLE: Act as technical mentor to the rest of the team Oversee the quality of team model ouputsLead the development of statistical models for Risk and Pricing function using SAS, SQL, R, Python - predicting customer behavior for conversion, retention, creditworthiness, up-sell and cross-sell propensities, price sensitivityDrive the growth of the business through model and strategy developmentBe pro-active in the optimisation of existing modelsYOUR SKILLS AND EXPERIENCE: Educated to degree level (minimum) with a 2.1 or better in a numerate subjectExperience working in the insurance or actuarial space is preferred but not necessaryExperience using SAS, SQL, R, Python, Earnix, Radar (or similar) on a daily basisExperience developing models in the Risk or Pricing space is highly preferredTHE BENEFITS A leadership role within the teamDevelop statistical models using a variety of tools in a data rich environmentUp to £48,000 + benefitsUp to 2 days working from homeKEYWORDS: Pricing Analyst, Risk Analyst, Insurance, Actuary, Actuarial Analyst, Modelling, Logistic regression, Decision Science, Data Science, SAS, SQL, R, Python, Radar, Earnix "	"Cheltenham, Gloucestershire, UK"	"Finance"	NA	NA	"48k Annual GBP"	"Harnham"	"Harnham"	"JS3561_36709272/589412352"	"06/12/2018 07:04:19"	"http://www.jobserve.com/GlvGm"	NA
"Broker/Analyst"	"GBP"	"London"	"Permanent"	"Broker/Analyst"	"London - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Posting Description  Broker/Analyst  We're hiring!  Aon are currently recruiting a Broker/Analyst to join our Global Portfolio Broking team in London.  Global Portfolio Broking is designed to challenge the status quo. We believe in thinking differently about delivering capital to clients and matching risk with capital. Th e way we challenge the status quo is by tailoring our products to our clients' needs, and building bespoke products for clients to use. They are simple, direct access to capital and attractive to markets ranging from:  MGA/underwriting platforms.  Capacity Indices and delegated underwriting on a cross-class/product-specific/region-specific basis.  Structured portfolio solutions and other forms of delegated underwriting.  C apital Optimisation Vehicles (COVs) including sidecars, structured re/insurance.  About the Role  The Broker/Analyst will be primarily responsible for working with and supporting the wider team with the structuring, placement and ongoing support of our various placements.  Your principle responsibilities will include;  Providing analytical support to placing team with client meetings, presentations, market studies, tenders and reports.  Assist with the preparations for presentation and pitch materials for new projects and portfolios.  Assist with the preparation of client deliverables and presentations which influence and provide impact for the client.  Help manage the due diligence and placement processes for placements.  Gather and evaluate economic, demographic, market data for input into client and market deliverables and submissions.  Point of contact for tracking, management and reporting  Broking and the support of Reinsurance placements and MGA capacity.  Development and maintaining client and market relationships.  Liaise with actuaries to structure and develop analytic solutions to portfolio solutions driven by market and client need.  Responsibility for working in accordance with the Aon UK Limited Risk Management Framework, and compliance with the Aon UK Limited policies, including participation in the management of risks (including completion of mandatory training) that may adversely affect the business, interests or reputation of any Group Company.  Knowledge, Skills and Abilities  Ability to work in a team environment where strong communication skills are necessary both written and verbal  Ability to prioritize tasks and remain detail oriented while under pressure to meet deadlines  Ability to formulate testable hypothesis based on data  Ability to organize ideas into a detailed specification format  Salary and Benefits  This role offers a competitive salary and bonus, plus a comprehensive benefits package and 25 days holiday. Through our flexible benefits, you will also have the opportunity to choose additional benefits, including healthcare, childcare vouchers and additional holiday. We also offer tremendous potential with a growing worldwide organisation.  About Aon  Headquartered in London, Aon Plc is a leading global professional services firm providing a broad range of risk, retirement and health solutions. Our 50,000 colleagues in 120 countries empower results for clients by using proprietary data and analytics to deliver insights that reduce volatility and improve performance.  Aon is an equal opportunities employer. Aon's recruitment and selection policy ensures the best possible skill mix of colleagues and the highest quality candidates are appointed using objective job-related criteria.  Reinsurance Solutions, a division of Aon plc, is the world's leading reinsurance intermediary and full-service capital advisor. We empower our clients to better understand, manage and transfer risk through innovative solutions and personalised access to all forms of global reinsurance capital across treaty, facultative and capital markets. As a trusted advocate, we deliver local reach to the world's markets, an unparalleled investment in innovative analytics, including catastrophe management, actuarial and rating agency advisory. Through our professionals' expertise and experience, we advise clients in making optimal capital choices that will empower results and improve operational effectiveness for their business. With more than 80 offices in 50 countries, our worldwide client base has access to the broadest portfolio of integrated capital solutions and services.  Our Colleague Experience  Every day, our colleagues make a difference, work with the best, own their potential, and value one another. Together, we share this one purpose: to empower economic and human possibility around the world. This unifying goal is at the heart of our identity, and it lives in everything we do.   We're happy to talk flexible working. If you need to flex your working pattern, Aon offers flexible and agile working policies and we're happy to discuss options with you upon application. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Aon"	"Aon"	"JS2450322/591758549"	"11/12/2018 11:10:10"	"http://www.jobserve.com/Gmtem"	NA
"Human Capital Project Manager"	"GBP"	"London"	"Permanent"	"Human Capital Project Manager"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Posting Description  Human Capital Project Manager (London, UK)  We're hiring!  Aon are currently recruiting a Project Manager in Aon's Mergers & Acquisitions Transaction Solutions (\"AMATS\") practice in the UK.  The AMATS team is a combined practice of Insurance and Human Capital experts with a dedicated focus on transactional activity. The team provides human capital advisory services to both private equity and strategic, corporate buyers, on buy-side and sell-side opportunities, as well as portfolio value audits for financial buyers.  Your impact as Project Manager  The primary responsibility of the Project Manager role will be to support the team in the management of M&A human capital due diligence engagements, which provide project management and advisory services to Buyers and Sellers in the pre-acquisition and pre-sale environment. The project work will consist of human capital (strong focus on employee benefits) due diligence, planning for post-closing employee benefit and HR related programs, new entity cost structures, and reviewing applicable transaction documentation. Additional M&A human capital solutions and wider advisory services may also be provided to clients during the transaction and following the completion of a deal.  The role will involve the coordination of Aon resources across geographies and practices across Aon. Whilst the initial focus of the APM's role is supporting the delivery of human capital advisory services, the role will include access to clients.  Your key responsibilities will involve;  Production of International Employee Benefits due diligence reports for Aon Strategic Advisory & Transaction Solutions (ASATS)  Assembly and Management of project teams from all parts of Aon to complete pre and post due diligence engagements and related transaction consultancy  Gathering of due diligence source information from data rooms, target board/management level personnel and peer group deal advisors (lawyers, accountants etc.)  Assist in new business development and maintaining relationships with internal network/lines of business, clients and prospects  Support project management engagement and liaise with clients and other advisors.  Support the team in the provision of human capital with strong focus on employee benefits due diligence for clients including the review of HR information provided in the data room, interviews with management, collection and tracking of requested information, and production of diligence reports.  Help coordinate internal Aon resources across various practices and geographies.  Determine opportunities for cross-selling other Aon products, services and solutions.  Assist in the project management of Day 1 employee benefits and HR related requirements.  You bring knowledge and expertise  As a Project Manager your skills and qualifications will ideally include;  Ideally you will have human capital and/or employee benefits consulting experience.  Specific M&A transaction and/or project management experience is not a pre-requisite.  International Compensation and Benefits/HR experience/M&A experience  Actuarial or pension experience preferred but not required  Aptitude for articulating (both verbally and in writing) technical or complicated issues in a concise manner.  Proven organisational capabilities.  Ability to help manage multiple projects and multiple engagements simultaneously.  Flexible work schedule; M&A projects often involve tight timelines.  Outstanding communication skills both oral and written essential.  Analytical and report writing skills.  Capability to write reports and communicate effectively with clients and peers  Understanding of accounting statements (balance sheet, P&L) and insurance markets  Our Colleague Experience  Every day, our colleagues make a difference, work with the best, own their potential, and value one another. Together, we share this one purpose: to empower economic and human possibility around the world. This unifying goal is at the heart of our identity, and it lives in everything we do. To learn more about our colleague experience, visit Aon Colleague Experience.  About Aon  Aon plc (NYSE:AON) is a leading global professional services firm providing a broad range of risk, retirement and health solutions. Our 50,000 colleagues in 120 countries empower results for clients by using proprietary data and analytics to deliver insights that reduce volatility and improve performance.  We offer you  A competitive total rewards package, continuing education & training, and tremendous potential with a growing worldwide organisation. Aon is an equal opportunities employer. Aon's recruitment and selection policy ensures the best possible skill mix of colleagues and the highest quality candidates are appointed using objective job-related criteria. "	"London, UK"	"Consulting"	NA	NA	"GBP"	"Aon"	"Aon"	"JS2440878/590809599"	"06/12/2018 07:12:40"	"http://www.jobserve.com/GlvNr"	NA
"Pricing Manager - Household Customer Pricing and Implementation"	"GBP"	"Leeds, Yorkshire"	"Permanent"	"Pricing Manager - Household Customer Pricing and Implementation"	"Leeds, Yorkshire - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"At Lloyds Banking Group, our Insurance business is one of the largest in the UK. We have a strong heritage, helping approximately six million customers every day with their diverse and critical needs including life insurance, pensions, investments and general insurance (home, car, travel). Our aim is to put customers at the heart of everything we do.This role offers a superb opportunity to become part of our Household Customer Pricing and Implementation team, working with multiple brands and channels in a highly dynamic and challenging environment. The core purpose of the Pricing Manager position is to develop and deliver the new business customer pricing strategy through ownership of the end to end pricing process, ensuring that our technical capabilities are continuously reviewed and refined and are at the forefront of market developmentsYou will need to demonstrate a detailed knowledge of statistical methodologies and pricing techniques, honed through significant experience of scoping, evaluating and delivering multiple pricing structures.There will be frequent contact with internal stakeholders from General Insurance and across the wider Insurance Division so, in addition to your knowledge of statistical and pricing techniques, you'll need to have strong communication skills.You'll lead a team of analysts, helping them to achieve their objectives and those of the LBG GI business. You'll share your technical expertise with the team and provide coaching in personal skills that will help with these colleagues' - and your own - development.You'll be responsible for managing the team's deliverables, ensuring timeliness, accuracy and quality, such as:*Ensuring new business pricing structures are built on sound business models, which adhere to model development and peer review standards *Proactively managing the ongoing statistical/actuarial analysis of the commercial performance of LBG GI Household new business pricing modelsYou'll need to maintain an in-depth level of technical knowledge of general insurance products, market, regulatory and professional developments and market trends. Your expert knowledge will help you to propose, evaluate and present future pricing strategies to senior management. After winning approval and buy-in, you'll then be responsible for driving them through to implementation while respecting and embedding good governance around pricing.To be successful in this position, you'll need to have a significant level of General Insurance Pricing experience and hold a FIA, FFA or ACII qualification, or be progressing towards another relevant professional qualification. You'll need an excellent knowledge of statistical analysis tools and techniques eg Access, SAS, Microsoft Excel (including Visual Basic), Generalised Linear Modelling and high levels of attention to detail and accuracy demonstrated in a technical area. You'll have a knowledge and understanding of UK insurance regulations and be up to date on new developments.You'll be self-motivated to achieve personal goals and to motivate the team in the achievement of business objectives, creating a team culture of high performance and technical excellence. You'll have experience of coordinating and delivering work as part of a team and a flexible management style appropriate for professional colleagues.You'll have excellent communication and negotiating skills, with a particular emphasis on report writing, and be able to engage and persuade the business of the importance of the pricing perspective in key projects.In addition to managing the team's current performance and deliverables, you'll also need to be able to look beyond the horizon of existing projects to identify future opportunities and challenges, keeping in mind our aim of growing our business while keeping customers and their needs at the heart of what we do.In return we offer a great opportunity to be part of a dynamic team with prospects to really develop your capabilities and career. Whatever your aspiration, you can also expect excellent benefits, personal development and a career that's enriching and full of opportunity. join us and you'll be part of an organisation that values your contribution and empowers you to make a difference.Together we make it possible. "	"Leeds, Yorkshire, UK"	"Finance"	NA	NA	"GBP"	"Lloyds Banking Group"	"Lloyds Banking Group"	"JS4795059/598453850"	"06/12/2018 07:09:24"	"http://www.jobserve.com/GlvLK"	NA
"Pricing Actuaries"	""	"London"	"Permanent"	"Pricing Actuaries"	"London"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"We have multiple vacancies for qualified actuaries with in-depth pricing experience, to move into exciting roles within the UK healthcare market. This is an ideal opportunity for a candidate from any sector of insurance to move into the fast-moving and developing healthcare market. These strategically focused opportunities require the ability to work with autonomy and deliver complex project work."	"London, UK"	"Finance"	NA	NA	NA	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82863/598778356"	"12/12/2018 11:39:09"	"http://www.jobserve.com/Gm6C6"	NA
"Move to Life"	"GBP"	"London"	"Permanent"	"Move to Life"	"London - GBP"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Our client, a major insurer, has an exciting opportunity for a talented analyst from a non-life background to move into the life sector, pricing new and existing life products and maintaining the existing suite of products whilst assisting in the delivery of new projects. You will monitor and analyse market rates and identify strategies and tactics to improve market share and new business profitability whilst helping to develop and update models used within price optimisation. In addition, you will develop price optimisation models for Life Insurance products alongside new pricing concepts, taking into consideration pricing trends within the market. With an understanding of GLM modelling, the successful candidate will have some knowledge of machine learning techniques. Experience in using Radar, Earnix or other optimisation software is preferable. Applications from candidates from a life background will also be welcomed. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85034/598778518"	"12/12/2018 11:38:39"	"http://www.jobserve.com/Gm6Cf"	NA
"Price and Optimise"	"GBP"	"London"	"Permanent"	"Price and Optimise"	"London - GBP"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"We are working with a fast-growing insurance business looking to hire multiple candidates into optimisation and pricing focused roles. These are ideal opportunities for ambitious candidates with experience of street/market pricing and optimisation, and/or technical pricing knowledge. With an entrepreneurial focus, you will assist in developing the firm's in-house capabilities, working closely with the experienced management team with a view to driving future growth. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85321/599174197"	"12/12/2018 11:38:04"	"http://www.jobserve.com/Gm6Bz"	NA
"Next Generation Pricing - Non-life"	"GBP"	"South East"	"Permanent"	"Next Generation Pricing - Non-life"	"South East - GBP"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"We have a number of exciting opportunities for commercially-aware actuaries to manage or support cutting-edge pricing optimisation and technical pricing workstreams across various lines of business. Please contact us to discuss this vacancy or for an informal discussion regarding your career goals. We are very happy to perform bespoke research on your behalf. Paul Cook, Associate Director M:  E:  "	"South East, UK"	"Other"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85209/599836939"	"12/12/2018 11:37:59"	"http://www.jobserve.com/Gm6Bw"	NA
"Pricing Analysts - Personal Lines"	"GBP"	"London"	"Permanent"	"Pricing Analysts - Personal Lines"	"London - GBP"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Our client, a leading insurance specialist, has a number of exciting opportunities for part-qualified GI actuaries with pricing knowledge to provide support for the Generalized Linear Model. Personal lines experience essential. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_86404/601386982"	"12/12/2018 09:31:24"	"http://www.jobserve.com/Gm4cf"	NA
"Data Scientist, Star Exclusive"	"GBP"	"London"	"Permanent"	"Data Scientist, Star Exclusive"	"London - GBP"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"An amazing opportunity for a candidate with a passion for analytics and data science, to provide actionable insights for this insurance business.The role demands a hands-on approach, comfort with coding and programming, and familiarity with data techniques, ideally including exposure to machine learning and other cutting-edge tools.Contact us now for more insight into the opportunity with this unique company, which offers excellent long term prospects."	"London, UK"	"Science"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5109/593978748"	"12/12/2018 09:13:19"	"http://www.jobserve.com/Gm4Ql"	NA
