"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"category"	"duration"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"
"Longevity Risk Senior Consultant"	""	"London"	"Permanent"	"Longevity Risk Senior Consultant"	"London"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"A leading global risk management consultancy who are at the forefront of driving cutting edge industry innovations across the life insurance sector are seeking to hire a qualified actuary to become their Longevity Risk - Senior Consultant, based in London. In this role as a Longevity Risk Senior Consultant you will play a leading role in consulting with prospective clients and on pitches. You will become an expert in the services/products offered. Typical solutions are wide ranging and cover areas such as:Leading (or participating) in the quantitative aspects of client consulting projects in which you will assess excess mortality and longevity risk;Cash flow modellingStructuring support for swaps and securitisations (including exposure to asset managers, banks, reinsurerOptimising reinsurance structuresDriving changes in underwriting practicesIdeally you will be a qualified actuary with a strong client manner/communication style. Prior consulting experience isn't necessary although you will be able to demonstrate an excellent client manner in networking. Expertise in longevity/mortality is not a pre-requisite although any exposure would be useful (but not essential). You will be meeting with CROs, Chief Actuaries and Head of Pricing/Research at life insurers in this position. Projects will range from assessing the risk in an insurer's portfolio to supporting capital market transactions. You will be a qualified actuary with modelling experience from either life insurance or pensions."	"London, UK"	"Finance"	NA	NA	NA	NA	"Goodman Masson"	"Goodman Masson"	"JS7286_82639/598778885"	"06/12/2018 11:12:51"	"http://www.jobserve.com/GlxGK"
"Strategy Manager"	"GBP"	"London"	"Permanent"	"Strategy Manager"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"The client is looking for someone with a commercial, business mindset to join their strategy team. The successful candidate will have a good insight to the Life Insurance industry and a desire to move away from the technical aspects of actuarial work and into a front line role.  Using analysis and assessment of key performance indicators you will work with a team of MI Analysts to review metrics across sales, new business, customer insight and finance. From these investigations you will then work with the Executive team to review strategy and make recommendations to move the business forward. "	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"HFG"	"HFG"	"JS7286_82808/598778309"	"06/12/2018 09:13:42"	"http://www.jobserve.com/GlwcC"
"Project Based Work - Pricing/Reserving/Capital/Brexit"	"GBP"	"London"	"Permanent"	"Project Based Work - Pricing/Reserving/Capital/Brexit"	"London - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Fairbank Partners are working on behalf of a Consultancy to hire Newly Qualified Actuaries to join as Managers. The opportunity: Lead a team of consultants, providing support and assistance when required Provide technical input to a number of projects Engage with a variety of clients, from personal lines to London Market IFRS17 and Brexit projects Win new business through marketing and sales activities The individual: Newly Qualified Actuary with experience in General Insurance Strong coaching skills to develop the more junior members of the team Advanced Excel skills Able to produce deliverables to a high standard To discuss this role please submit your CV or contact Hannah Turner at Fairbank Partners on . Fairbank Partners has access to a wide range of actuarial jobs and acts as an employment agency. "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_85110/599836952"	"08/12/2018 07:03:12"	"http://www.jobserve.com/GmCNg"
"Take a step into the future with London Market Machine learning opport"	"GBP"	"London"	"Permanent"	"Take a step into the future with London Market Machine learning opport"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Fairbank Partners are working with a London Market general insurer in their search for a data science/pricing analyst to sit in their Technical Pricing team. The opportunity: Heavily focused towards Data Science to enhance pricing and other functions in the business Apply machine learning and statistical techniques to draw insights on insurance products (retail and commercial) Full actuarial study support The ideal candidate: Skilled in R/Python Excellent academic background Pricing experience To discuss this role, or to explore your career options, please submit your CV or contact Daisy Hector in confidence on . Fairbank Partners has access to a wide range of actuarial jobs and acts as an employment agency. "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_83930/598778305"	"07/12/2018 16:01:37"	"http://www.jobserve.com/Gl6Tl"
"Data Specialist - Insurance"	"GBP"	"London"	"Permanent"	"Data Specialist - Insurance"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Leading London Market firm has a unique opportunity for a talented data specialist with excellent analytical and computer skills to provide support for broker and client data and reporting requirements. In this key role, you will continually assess the ideal report creation strategy and manage the reporting suite for distribution. You will also use system data, reporting and visualization tools to proactively identify opportunities and trends, bridging the gap between actuarial findings and distribution strategy in relation to brokers. With a passion for finding streamlined and less complex solutions to data gathering, analysis and reporting, the successful candidate will possessexperience of Microsoft Power BI. Experience of Seismic a plus. Please contact us to discuss this vacancy or for an informal discussion regarding your career goals. We are very happy to perform bespoke research on your behalf. David Ellis, Associate Director M: (0)  E:  "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_83915/598778386"	"07/12/2018 13:34:31"	"http://www.jobserve.com/Gl5i2"
"Excellent opportunity for a Capital analyst to join growing run-off ac"	"GBP"	"London"	"Permanent"	"Excellent opportunity for a Capital analyst to join growing run-off ac"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Fairbank Partners are working with a fast-growing run-off acquirer in their search for a Solvency II Capital Analyst. The opportunity: Wide variety of complex work: calculating the Solvency II balance sheets and producing reports to the UK and Irish regulators - the role will evolve and develop as the team continues to grow Highly business-facing role: interaction with actuarial, risk, M&A, and finance Excellent exposure to senior-stakeholders: Report into a Senior Actuary and Head of Department who then reports directly into the Chief Actuary Basic salary: c.£45,000 dependent on experience The ideal candidate: Actuarial student Experience of Solvency II Standard Formula ReMetrica abilities preferred but not essential A degree in Mathematics, Statistics or Actuarial Science with excellent academic background To discuss this role, or to explore your career options, please submit your CV or contact Daisy Hector in confidence on . Fairbank Partners has access to a wide range of actuarial jobs and acts as an employment agency. "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_85224/598778746"	"07/12/2018 13:31:59"	"http://www.jobserve.com/Gl5gz"
"Manager- Big 4 Consultancy - Project based role, opportunity to work a"	"GBP"	"London"	"Permanent"	"Manager- Big 4 Consultancy - Project based role, opportunity to work a"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Fairbank Partners are assisting a market-leading Big Four Consultancy with their search for Qualified Actuaries at the Manger level. The opportunity: Join a market-leading consultancy to work on a range of projects - areas such as IFRS17, Capital Management, M&A, Change and Modelling Senior stakeholder engagement and client relationship maintenance Potential to work overseas due to the company's global presence Strong salary package, including car allowance Great opportunities for career progression Flexible working on offer Ideal candidate: Newly Qualified up to Senior Qualified Actuary Previous experience working within a UK Life Insurer or Consultancy Experience within at least 1 core service area Strong communication skills. Ambitious and reliable  To discuss this role further, or to discuss your career options, please submit your CV or contact Rebecca Miles at Fairbank Partners on . Fairbank Partners has access to a wide range of actuarial jobs and acts as an employment agency.  "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_82810/598778545"	"07/12/2018 13:31:58"	"http://www.jobserve.com/Gl5gy"
"Interim RAFM Developer"	"GBP"	"Glasgow, Lanarkshire"	"Permanent"	"Interim RAFM Developer"	"Glasgow, Lanarkshire - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Fairbank Partners are currently working with a leading Life Insurer in the Midlands to assist with finding a Rafm Developer .  We are looking for a RAFM Developer to support the transformation programme. The successful candidate will have experience in model development (RAFM or MoSes) and be able to communicate and explain modelling concepts to a non-technical audience Experience  Experience of developing RAFM or MoSes models  Experience of testing own work  Qualified Actuary (or close to qualified)  Life Assurance background  Supported projects or transformation programmes before  Happy to work with ambiguity and agile working  To discuss this role further, or to discuss your career options, please submit your CV or contact Grace Pereira at Fairbank Partners on .  Fairbank Partners has access to a wide range of actuarial jobs and acts as an employment agency.  "	"Glasgow, Lanarkshire, UK"	"Other"	NA	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_82535/598778622"	"07/12/2018 13:31:27"	"http://www.jobserve.com/Gl5ga"
"Reinsurance Pricing Analyst X 2 - London Market"	"£45,000 "	"London"	"Permanent"	"Reinsurance Pricing Analyst X 2 - London Market"	"London - £45,000 "	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Reinsurance Pricing Analyst X 2 - London Market Up to £45,000 + Bonus + Benefits A leading Lloyd's Syndicate is looking to hire 2 part-qualified actuaries to join them and focus on pricing for their reinsurance business. This will report into the Head of Pricing and will work on Property, Casualty and Specialty lines of business. The ideal candidate will be part-qualified and making demonstrable progress throughout the actuarial exams. Pricing experience would be a big advantage with a slight preference towards reinsurance and/or Lloyd's business. You will have heavy exposure to Underwriters and other actuarial functions, therefore good communication skills are essential.Eames Consulting is acting as an Employment Agency in relation to this vacancy. "	"London, UK"	"Finance"	NA	NA	NA	"£45,000 "	"Eames Consulting"	"Eames Consulting"	"JS7286_85341/599554016"	"07/12/2018 09:13:07"	"http://www.jobserve.com/Gl2sI"
"Reserving Analyst"	"GBP"	"London"	"Permanent"	"Reserving Analyst"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"A reputable insurance company are looking for a Reserving Analyst to join their Europe reserving function, working across all classes of Europe legal entity business, including Casualty, Property, Financial Lines, Accident & Heath, Tech Risks, Political Risks, Marine and Personal Lines.Although this role is primarily Reserving, there are regular opportunities to work with actuarial colleagues within Pricing, Planning and Capital Modelling teams. The responsibilities of this role includes supporting the ongoing testing, analysis and development of reserving models and preparing reports of claims reserving, SII, financial planning and management reporting. The candidate will ensure all reports are aligning with SII provisions. The candidate must support the quarterly reviews of premium, loss and expense reserves (for the purpose UD GAAP), as well as the bi-annual loss ratio planning processes.The candidate must liaise often with members of different teams, members of Senior Management and stakeholders, and so the candidate must have excellent interpersonal skills.The ideal candidate will be a graduate of a mathematical or science-based degree (or equivalent), working towards obtaining fellowship from the Institute of Actuaries (or equivalent professional actuarial body). The candidate must have at least 2 years Non-life insurance experience, ideally in retail or commercial reserving context. Knowledge of reserving models such as ResQ are desired.Eames Consulting is acting as an Employment Agency in relation to this vacancy. "	"London, UK"	"Finance"	"Graduate"	NA	NA	"GBP"	"Eames Consulting"	"Eames Consulting"	"JS7286_82875/598778585"	"06/12/2018 11:26:11"	"http://www.jobserve.com/GlxN6"
"Syndicate Capital Analyst"	"GBP"	"London"	"Permanent"	"Syndicate Capital Analyst"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Our client, a leading general insurer, is looking for a part-qualified Capital Analyst to join their central London office. The role will sit within Capital and Risk, with exposure to a wide range of workstreams. Our client is looking for a technically excellent analyst who is eager to continue their career in a diverse syndicate capital role. Key Responsibilities: Model maintenance, runs and updates (Igloo) Support the team on all matters relating to internal model validation and necessary regulatory reporting Key Requirements: General insurance experience Capital background preferred  Ongoing progress through the Actuarial exams Excellent verbal and written communication skills"	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_82519/598778897"	"06/12/2018 11:24:39"	"http://www.jobserve.com/GlxNJ"
"Senior Risk Analyst"	"GBP"	"London"	"Permanent"	"Senior Risk Analyst"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"My client is looking for a Senior Risk Analyst to join a dynamic team within the London market. The role will be focused around model validation, technical reviews and evaluation of pricing models. This role requires someone technically strong and that has a strong work ethic. The ideal candidate will have GI experience of risk management, ideally within the Lloyd's market. Candidates with an actuarial background are preferred and those with the ability to communicate articulate matters well, will have a clear advantage. "	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"Bolton Associates"	"Bolton Associates"	"JS7286_85048/598778761"	"06/12/2018 11:23:41"	"http://www.jobserve.com/GlxMm"
"Head of Longevity Business Development - Lead on Winning New Business"	""	"London"	"Permanent"	"Head of Longevity Business Development - Lead on Winning New Business"	"London"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"This is an excellent opportunity to join a market leading Reinsurer and manage all new business development activities for the Longevity team. You will be responsible for maintaining current client relationships and lead on wining new business, Work closely with the wider Longevity team to tailor solutions to attract new clients, Take the lead on deal execution, Resolve and issues with existing clients, Along with other senior Longevity Actuary you will play a key role is setting the companies Longevity strategy, The ideal candidate will be a Qualified Actuary with a background in Life or Pensions, Proven track record of Marketing and/or business development within Industry or Consulting, A background in Reinsurance would be advantageous, Good understanding of the Longevity and Annuity market, "	"London, UK"	"Sales and Marketing"	NA	NA	NA	NA	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_82878/598778857"	"06/12/2018 11:22:35"	"http://www.jobserve.com/GlxL9"
"Consultancy Opportunity- Reserving/Capital/Pricing"	"GBP"	"London"	"Permanent"	"Consultancy Opportunity- Reserving/Capital/Pricing"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Fairbank Partners are working on behalf of a leading Big Four consultancy to hire Newly Qualified Actuaries to join at Manager grade. This role offers the opportunity to engage with clients on a regular basis, be in a role that is front-facing and also offer flexibility in working arrangements.  The opportunity: Lead a team of consultants, providing support and assistance when required Provide technical input to a number of projects Manage and develop external client relationships Win new business through marketing and sales activities The individual: Newly Qualified Actuary with experience in General Insurance Strong coaching skills to develop the more junior members of the team Advanced Excel skills Able to produce deliverables to a high standard Fairbank Partners has access to a wide range of actuarial jobs and acts as an employment agency. "	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_82807/598778697"	"06/12/2018 11:21:46"	"http://www.jobserve.com/GlxLg"
"Data Science/Pricing - Based in Central London"	"GBP"	"London"	"Permanent"	"Data Science/Pricing - Based in Central London"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Fairbank Partners are working with a Central London insurer to source a Part Qualified with a keen interest in Data Science to join the Technical pricing team. The opportunity: Excellent chance to join a specialist niche insurer Work across various lines of business, including commercial Learn and use machine learning/data science techniques to enhance pricing Use R and Python Actuarial study support can be offered for those who want it The individual: Junior analyst with pricing experience Experience in R and Python is an advantage  "	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_83939/598778686"	"06/12/2018 11:09:10"	"http://www.jobserve.com/GlxDi"
"IFRS 17 Moses Development Contract - London"	""	"London"	"Permanent"	"IFRS 17 Moses Development Contract - London"	"London"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Fairbank Partners are currently working with a leading Life Insurer based in London to find a 6 month contractor to join their IFRS 17 team. They are willing to wait for a 2 month Notice Period for the right candidate.  Role The role will require An understanding of MoSes cashflows An ability to pick up FIS CSM library calculations An understanding of IFRS17 CSM details Fairbank Partners has access to a wide range of actuarial jobs and acts as an employment agency.  "	"London, UK"	"Finance"	NA	NA	NA	NA	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_85114/598778506"	"06/12/2018 09:15:27"	"http://www.jobserve.com/GlwdS"
"Data Specialist - Insurance"	"GBP"	"London"	"Permanent"	"Data Specialist - Insurance"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Leading London Market firm has a unique opportunity for a talented data specialist with excellent analytical and computer skills to provide support for broker and client data and reporting requirements.In this key role, you will continually assess the ideal report creation strategy and manage the reporting suite for distribution.You will also use system data, reporting and visualization tools to proactively identify opportunities and trends, bridging the gap between actuarial findings and distribution strategy in relation to brokers.With a passion for finding streamlined and less complex solutions to data gathering, analysis and reporting, the successful candidate will possessexperience of Microsoft Power BI. Experience of Seismic a plus."	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5178/593978803"	"03/12/2018 14:16:35"	"http://www.jobserve.com/GlPyW"
"Part or Nearly/Newly Qualified Actuaries in Bristol"	"GBP"	"Bristol"	"Permanent"	"Part or Nearly/Newly Qualified Actuaries in Bristol"	"Bristol - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"If you are looking for a new role in the South West then this is an excellent opportunity for you to join a growing finance function of a FTSE 100 Life Insurer. The focus of the role will be on the production of IFRS and SII results and also a big drive on Process Improvement, Put forward you own ideas for process automisation, You will have lots of senior stakeholder management and will regularly be presenting results to senior manager, The ideal candidate will be a Part or Nearly/Newly Qualified Actuary, A reporting or valuations would be advantageous but is not essential, To discuss this role please submit your CV or contact Oliver England at Fairbank Partners on . Fairbank Partners has access to a wide range of actuarial jobs and acts as an employment agency. "	"Bristol, UK"	"Other"	NA	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_85349/599836801"	"08/12/2018 09:15:43"	"http://www.jobserve.com/GmDer"
"Portfolio Analyst"	"GBP"	"Reading, Oxfordshire"	"Permanent"	"Portfolio Analyst"	"Reading, Oxfordshire - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"A Berkshire based insurer is currently seeking to hire a Portfolio Analyst into their Commercial Pricing Team. This role will involve the production of reports, reviewing product performance and recommending appropriate actions such as rate changes. This would be an idea role for a highly analytical individual from outside of general insurance to enter the industry, or indeed for an individual with previous experience looking for a new challenge. You'll play a key role in contributing to the performance of the commercial portfolios.The salary for this position is competitive depending on experience and there will be the potential to transition into an actuarial role in time. Eames Consulting is acting as an Employment Agency in relation to this vacancy. "	"Reading, Oxfordshire, UK"	"Other"	NA	NA	NA	"GBP"	"Eames Consulting"	"Eames Consulting"	"JS7286_85063/599836867"	"08/12/2018 09:13:08"	"http://www.jobserve.com/GmDeK"
"Client Manager/Handler"	"GBP"	"London"	"Permanent"	"Client Manager/Handler"	"London - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Posting Description  Client Manager/Handler  We're hiring!  Aon are currently recruiting a Client Manager to join our team in London. The Client Manager will be primarily responsible for: assisting in producing and/or providing quality checks in respect of documentation and transactional activities required to support the placement of business.  About Aon  Headquartered in London, Aon Plc is a leading global professional services firm providing a broad range of risk, retirement and health solutions. Our 50,000 colleagues in 120 countries empower results for clients by using proprietary data and analytics to deliver insights that reduce volatility and improve performance.  Aon is an equal opportunities employer. Aon's recruitment and selection policy ensures the best possible skill mix of colleagues and the highest quality candidates are appointed using objective job-related criteria.  Reinsurance Solutions, a division of Aon plc, is the world's leading reinsurance intermediary and full-service capital advisor. We empower our clients to better understand, manage and transfer risk through innovative solutions and personalised access to all forms of global reinsurance capital across treaty, facultative and capital markets. As a trusted advocate, we deliver local reach to the world's markets, an unparalleled investment in innovative analytics, including catastrophe management, actuarial and rating agency advisory. Through our professionals' expertise and experience, we advise clients in making optimal capital choices that will empower results and improve operational effectiveness for their business. With more than 80 offices in 50 countries, our worldwide client base has access to the broadest portfolio of integrated capital solutions and services.  About the Role  Your impact as a Client Manager/Handler :  Preparation of final reinsurance or insurance documentation  Produce final reinsurance or insurance documentation to confirm coverage to clients.  Preparation of market submission  Collect and analyse relevant information and prepare market submissions and presentations for new business or renewals.  Promotion of products and services  Lead or take an active part in activities and initiatives aimed at promoting Aon's products and services in the marketplace (eg media events, trade conferences, client seminars).  Quality control of reinsurance or insurance documentation  Review and check reinsurance or insurance documentation to ensure that it satisfies client requirements and other standards (eg regulatory).  Credit Control Monitoring  To work with our Accounting Teams, and assist when required, to ensure premiums are collected from clients and settled to Reinsurers within the specified settlement due dates.  Respecting Aon policies   Responsibility for working in accordance with the Aon UK Limited Risk Management Framework, and compliance with the Aon UK Limited policies, including participation in the management of risks (including completion of mandatory training) that may adversely affect the business, interests or reputation of any Group Company.  About you  Your knowledge and expertise:  Understands the role of reinsurance in a clients' business strategy, effective translation of those needs, identifies appropriate partners, negotiation, statistical analysis and interpretation, legal parameters and content.  In depth understanding, consistently maintains a working knowledge of the client, manages expectations, introduction of new products. Stays abreast of market developments and the client potential impact, has a good knowledge of key competitors, awareness of industry practices and Aon's regulatory controls.  Works well under pressure, is prepared to make contentious or unpopular recommendations, encourages others to make informed decisions, adopts a systematic approach, prepares contingency plans, proactively addresses challenges, considers broad long term picture, communicates confidently with others.  Salary and Benefits  This role offers a competitive salary and bonus, plus a comprehensive benefits package and 25 days holiday. Through our flexible benefits, you will also have the opportunity to choose additional benefits, including healthcare, childcare vouchers and additional holiday. We also offer tremendous potential with a growing worldwide organisation.  Our Colleague Experience  Every day, our colleagues make a difference, work with the best, own their potential, and value one another. Together, we share this one purpose: to empower economic and human possibility around the world. This unifying goal is at the heart of our identity, and it lives in everything we do. To learn more about our colleague experience, visit Aon Colleague Experience.  We're happy to talk flexible working. If you need to flex your working pattern, Aon offers flexible and agile working policies and we're happy to discuss options with you upon application "	"London, UK"	"Customer Services"	NA	NA	NA	"GBP"	"Aon"	"Aon"	"JS2446930/580119989"	"08/12/2018 09:07:47"	"http://www.jobserve.com/GmDb3"
"Business Support Administrator"	"GBP"	"London"	"Permanent"	"Business Support Administrator"	"London - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Posting Description Business Support Administrator We're hiring!  Aon are currently recruiting a Business Support Administrator to join our team in London. The Business Support Administrator will be primarily responsible for supporting the Global Re Specialty team (70+people) with their day to day activities; delivering high quality support to the GRS team enabling them to deliver client value and business results.  About Aon   Headquartered in London, Aon Plc is a leading global professional services firm providing a broad range of risk, retirement and health solutions. Our 50,000 colleagues in 120 countries empower results for clients by using proprietary data and analytics to deliver insights that reduce volatility and improve performance.  Aon is an equal opportunities employer. Aon's recruitment and selection policy ensures the best possible skill mix of colleagues and the highest quality candidates are appointed using objective job-related criteria.  Reinsurance Solutions   Reinsurance Solutions, a division of Aon plc, is the world's leading reinsurance intermediary and full-service capital advisor. We empower our clients to better understand, manage and transfer risk through innovative solutions and personalised access to all forms of global reinsurance capital across treaty, facultative and capital markets. As a trusted advocate, we deliver local reach to the world's markets, an unparalleled investment in innovative analytics, including catastrophe management, actuarial and rating agency advisory. Through our professionals' expertise and experience, we advise clients in making optimal capital choices that will empower results and improve operational effectiveness for their business. With more than 80 offices in 50 countries, our worldwide client base has access to the broadest portfolio of integrated capital solutions and services. GRS Business Support key responsibilities will involve:  Key responsabilities:   Responsibility for organising meetings for both internal and external clients  Arranging cost effective travel through Aon systems  Managing team and individual expenses through the appropriate Aon systems  Ensure Travel and Expenses bookings are consistently managed and minimised  Pro-actively contribute to satisfaction of line manager and team supported  Responsible for providing a support function working from one inbox and working out a strategy as to how the work is divided up between the team to make sure that its completed in the quickest time possible ensuring its completed to a 1st class standard  Responsible for providing support and arranging meetings for the team for business trips and client visits  Providing a flexible service covering ad hoc duties such as organising team events  meeting and greeting visitors at all levels of seniority  organising travel and preparing complex travel itineraries including the arrangement of visa's  providing support the yearly reinsurance conferences including Monte Carlo, Baden Baden and PCI  Dealing with Clients first line queries and refer to appropriate team members, when necessary  Managing relationships with key stakeholders  Responsible for the on boarding of all joiners, movers, leavers, work experience, graduates and interns  Adhering to best practices business processes as directed by Operations leader  Responsible for making sure everyone is compliant and completing CVENT and CER forms when required  Responsible for monitoring LMS modules and making sure the team are all up to date and completing on time  Responsible for making sure everyone is competent and forms have been completed in timely manner  Arranging and facilitating the induction of any new recruits to the team  Adhering to the standards, procedures and best practices of Aon Limited to ensure FCA and other regulatory compliance  Responsibility for working in accordance with the Aon UK Limited Risk Management Framework, and compliance with the Aon UK Limited policies, including participation in the management of risks (including completion of mandatory training) that may adversely affect the business, interests or reputation of any Group Company About you  Your knowledge and expertise: About you  Educated to A Level standard or equivalent  Strong interpersonal skills  Proven track record of being extremely organised  Effective communication and presentation skills  Problem solving skills  Ability to work well as part of a team  Experience of working in a client facing environment  Advanced skills in Excel, Word, PowerPoint  Understanding of compliance and FCA regulation Salary and Benefits  This role offers a competitive salary and bonus, plus a comprehensive benefits package and 25 days holiday. Through our flexible benefits, you will also have the opportunity to choose additional benefits, including healthcare and additional holiday. We also offer tremendous potential with a growing worldwide organisation. Our Colleague Experience  Every day, our colleagues make a difference, work with the best, own their potential, and value one another. Together, we share this one purpose: to empower economic and human possibility around the world. This unifying goal is at the heart of our identity, and it lives in everything we do. To learn more about our colleague experience, visit Aon Colleague Experience.  We're happy to talk flexible working. If you need to flex your working pattern, Aon offers flexible and agile working policies and we're happy to discuss options with you upon application "	"London, UK"	"Office and Admin"	NA	NA	NA	"GBP"	"Aon"	"Aon"	"JS2453664/587725488"	"08/12/2018 09:07:05"	"http://www.jobserve.com/GmDbR"
"Claims Specialist"	""	"London"	"Permanent"	"Claims Specialist"	"London"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Posting Description  We're hiring!  Claims Specialist  Aon are currently recruiting a Claims Specialist to join our team in London. The Claims Specialist will be primarily responsible for the claims servicing of both Direct and Reinsurance clients with the primary objective of obtaining agreement & settlement as efficiently as possible while maintaining a high level of client service.  About Aon Reinsurance Solutions  Aon Reinsurance Solutions, a division of Aon plc, is the world's leading reinsurance intermediary and full-service capital advisor. We empower our clients to better understand, manage and transfer risk through innovative solutions and personalised access to all forms of global reinsurance capital across treaty, facultative and capital markets. As a trusted advocate, we deliver local reach to the world's markets, an unparalleled investment in innovative analytics, including catastrophe management, actuarial and rating agency advisory. Through our professionals' expertise and experience, we advise clients in making optimal capital choices that will empower results and improve operational effectiveness for their business. With more than 80 offices in 50 countries, our worldwide client base has access to the broadest portfolio of integrated capital solutions and services. Aon is an equal opportunities employer. Aon's recruitment and selection policy ensures the best possible skill mix of colleagues and the highest quality candidates are appointed using objective job-related criteria.  As a Claims Specialist some of your key responsibilities will involve:  Keep claims manager and producers/account managers informed of activities/changes/problems with client claims as appropriate  Initiate and develop a working relationship with the client.  Maintain positive relationship and excellent communication with client and co-workers  Actively manage client expectations  Organise, assist with and conduct client presentations and claim review meetings as needed  Cover for other team members during absences  Request status reports from carriers and apprise clients of updated status on their claims as needed  Assist clients in resolving insurance coverage problems and/or disputes.  Provide claim analysis as directed by the service team & agreed upon at account inception  Assist the account service team in developing loss information for marketing purposes including loss development information and claim statuses on open claims as requested.  Risk Management: Ensure processes, procedures and compliance policies are always adhered to.  About you  As a Claims Specialist your skills and qualifications will ideally include:  Knowledge of Reinsurance claims handling would be advantageous  Knowledge of the London Market  Analytical and problem-solving skills.  Proven interpersonal skills with a track record dealing with domestic and international clients.  Good knowledge of Microsoft office including Word, Excel and PowerPoint.  Good ability to work under your own initiative and as part of a team.  Responsible for working in accordance with the Aon UK Limited Risk Management Framework, and compliance with the Aon UK Limited policies, including participation in the management of risks (including completion of mandatory training) that may adversely affect the business, interests or reputation of any Group Company.  Salary and Benefits  This role offers a competitive salary and bonus, plus a comprehensive benefits package and 25 days holiday. Through our flexible benefits, you will also have the opportunity to choose additional benefits, including healthcare, childcare vouchers and additional holiday. "	"London, UK"	"Finance"	NA	NA	NA	NA	"Aon"	"Aon"	"JS2454618/599253753"	"07/12/2018 07:06:36"	"http://www.jobserve.com/Gl2Jb"
